Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Portland,Weekly,"2017-01-02 00:00:00",Conventional,0.730000000,869835.55,100273.33,269506.85,13235.82,486819.55,468972.79,17284.95,561.81
Raleigh/Greensboro,Weekly,"2017-01-02 00:00:00",Conventional,1.180000000,283434.01,74754.07,125855.56,13633.95,69190.43,66525.85,2664.58,0.00
Richmond/Norfolk,Weekly,"2017-01-02 00:00:00",Conventional,1.110000000,240752.75,82444.88,85577.58,5485.61,67244.68,65961.19,1104.32,179.17
Roanoke,Weekly,"2017-01-02 00:00:00",Conventional,0.970000000,142347.90,43011.78,43260.01,125.37,55950.74,55319.62,535.56,95.56
Sacramento,Weekly,"2017-01-02 00:00:00",Conventional,0.980000000,526765.64,144876.31,339664.16,660.97,41564.20,37920.98,2018.22,1625.00
"San Diego",Weekly,"2017-01-02 00:00:00",Conventional,0.930000000,560310.35,149666.20,206181.12,15014.45,189448.58,150517.04,37802.65,1128.89
"San Francisco",Weekly,"2017-01-02 00:00:00",Conventional,0.950000000,1047175.33,260100.73,717625.67,2490.66,66958.27,60397.91,5515.08,1045.28
Seattle,Weekly,"2017-01-02 00:00:00",Conventional,0.840000000,822000.04,79598.76,267691.37,705.61,474004.30,469004.72,4461.10,538.48
"South Carolina",Weekly,"2017-01-02 00:00:00",Conventional,1.000000000,402162.87,166822.96,105262.07,5223.20,124854.64,57344.89,67509.75,0.00
"South Central",Weekly,"2017-01-02 00:00:00",Conventional,0.640000000,6687273.64,3587283.29,1719720.01,27548.73,1352721.61,1105953.16,230434.03,16334.42
Southeast,Weekly,"2017-01-02 00:00:00",Conventional,0.940000000,4655896.95,1826477.14,1085898.73,9296.67,1734224.41,731587.70,1000752.82,1883.89
Spokane,Weekly,"2017-01-02 00:00:00",Conventional,0.870000000,115041.61,11707.17,43700.05,511.00,59123.39,58631.06,415.97,76.36
"St. Louis",Weekly,"2017-01-02 00:00:00",Conventional,1.110000000,144323.70,90181.75,10226.35,212.85,43702.75,39615.42,4087.33,0.00
Syracuse,Weekly,"2017-01-02 00:00:00",Conventional,1.550000000,64284.03,853.31,47182.71,7.00,16241.01,16175.80,65.21,0.00
Tampa,Weekly,"2017-01-02 00:00:00",Conventional,0.930000000,578061.29,202816.81,150261.06,71.05,224912.37,87852.78,137059.59,0.00
West,Weekly,"2017-01-02 00:00:00",Conventional,0.790000000,7360925.84,2100350.66,1976304.53,123652.12,3160618.53,2299700.47,857388.28,3529.78
"West Tex/New Mexico",Weekly,"2017-01-02 00:00:00",Conventional,0.750000000,819748.75,394004.15,96731.03,16147.28,312866.29,134847.67,178016.40,2.22
"Total U.S.",Weekly,"2017-01-08 00:00:00",Conventional,0.990000000,38049802.62,11809727.70,13856934.70,539068.39,11844071.83,9332971.74,2432259.13,78840.96
Albany,Weekly,"2017-01-08 00:00:00",Conventional,1.550000000,91728.18,3355.47,75641.23,56.91,12674.57,12606.67,67.90,0.00
Atlanta,Weekly,"2017-01-08 00:00:00",Conventional,0.980000000,601546.19,279265.77,77758.24,319.36,244202.82,172510.89,71691.93,0.00
Baltimore/Washington,Weekly,"2017-01-08 00:00:00",Conventional,1.140000000,1029279.83,83249.92,750033.84,9793.59,186202.48,183395.10,2281.83,525.55
Boise,Weekly,"2017-01-08 00:00:00",Conventional,1.020000000,103788.25,35596.88,7162.53,12143.68,48885.16,40257.37,8607.03,20.76
Boston,Weekly,"2017-01-08 00:00:00",Conventional,1.090000000,730358.49,7543.51,605624.94,9300.68,107889.36,107796.03,93.33,0.00
Buffalo/Rochester,Weekly,"2017-01-08 00:00:00",Conventional,1.370000000,158267.23,1506.69,83906.44,65.83,72788.27,72703.02,85.25,0.00
California,Weekly,"2017-01-08 00:00:00",Conventional,1.000000000,6653048.21,1988635.39,2569566.25,109029.01,1985817.56,1807926.97,144375.50,33515.09
Charlotte,Weekly,"2017-01-08 00:00:00",Conventional,1.280000000,219338.92,56739.54,80201.70,10231.86,72165.82,63539.28,8626.54,0.00
Chicago,Weekly,"2017-01-08 00:00:00",Conventional,1.160000000,822522.24,79629.99,499835.88,151447.25,91609.12,81467.82,1420.05,8721.25
Cincinnati/Dayton,Weekly,"2017-01-08 00:00:00",Conventional,0.820000000,285027.21,4147.01,126967.13,991.09,152921.98,33746.17,118612.86,562.95
Columbus,Weekly,"2017-01-08 00:00:00",Conventional,0.860000000,226219.71,105022.53,34667.40,1761.29,84768.49,81562.73,3205.76,0.00
"Dallas/Ft. Worth",Weekly,"2017-01-08 00:00:00",Conventional,0.780000000,1247488.60,556814.80,343124.23,2551.41,344998.16,341681.22,3247.62,69.32
Denver,Weekly,"2017-01-08 00:00:00",Conventional,0.920000000,844689.96,169103.67,249167.67,16470.81,409947.81,247424.23,162523.58,0.00
Detroit,Weekly,"2017-01-08 00:00:00",Conventional,0.900000000,470643.79,157160.74,76519.91,7819.30,229143.84,225725.06,3415.32,3.46
"Grand Rapids",Weekly,"2017-01-08 00:00:00",Conventional,1.260000000,174079.23,1225.77,102134.85,3082.60,67636.01,60761.60,6851.61,22.80
"Great Lakes",Weekly,"2017-01-08 00:00:00",Conventional,0.990000000,4067134.96,725716.77,1755106.40,195159.52,1391152.27,1010322.96,367740.51,13088.80
Harrisburg/Scranton,Weekly,"2017-01-08 00:00:00",Conventional,1.300000000,275064.65,51590.90,153751.13,98.83,69623.79,67890.58,1733.21,0.00
Hartford/Springfield,Weekly,"2017-01-08 00:00:00",Conventional,1.250000000,369468.59,5105.33,315473.05,306.22,48583.99,47415.32,1168.67,0.00
Houston,Weekly,"2017-01-08 00:00:00",Conventional,0.570000000,1417208.02,933181.79,198434.84,2690.98,282900.41,190479.48,92420.93,0.00
Indianapolis,Weekly,"2017-01-08 00:00:00",Conventional,0.860000000,222849.42,17783.95,112339.02,3127.01,89599.44,41838.55,47759.42,1.47
Jacksonville,Weekly,"2017-01-08 00:00:00",Conventional,1.150000000,141693.33,47783.40,23081.48,148.91,70679.54,29267.91,41411.63,0.00
"Las Vegas",Weekly,"2017-01-08 00:00:00",Conventional,0.810000000,411218.71,112947.03,77763.79,7983.56,212524.33,71141.24,141383.09,0.00
"Los Angeles",Weekly,"2017-01-08 00:00:00",Conventional,0.890000000,3120961.67,969758.40,692908.87,72814.14,1385480.26,1288525.30,72837.94,24117.02
Louisville,Weekly,"2017-01-08 00:00:00",Conventional,0.860000000,118310.74,2489.41,55251.90,397.86,60171.57,17859.61,42296.40,15.56
"Miami/Ft. Lauderdale",Weekly,"2017-01-08 00:00:00",Conventional,1.400000000,522278.22,209904.22,121128.25,293.18,190952.57,85738.78,105206.85,6.94
Midsouth,Weekly,"2017-01-08 00:00:00",Conventional,1.110000000,3454819.97,777266.14,1624949.84,45093.12,1007510.87,873053.26,130291.21,4166.40
Nashville,Weekly,"2017-01-08 00:00:00",Conventional,0.840000000,255094.17,126438.73,17389.25,183.00,111083.19,98008.64,12089.55,985.00
"New Orleans/Mobile",Weekly,"2017-01-08 00:00:00",Conventional,1.100000000,230884.67,124108.53,31296.37,316.00,75163.77,52403.61,13645.16,9115.00
"New York",Weekly,"2017-01-08 00:00:00",Conventional,1.290000000,1532074.69,18585.10,1207607.23,6403.22,299479.14,258470.17,40822.02,186.95
Northeast,Weekly,"2017-01-08 00:00:00",Conventional,1.250000000,4691937.50,203756.33,3517891.27,29359.10,940930.80,882013.66,58723.55,193.59
"Northern New England",Weekly,"2017-01-08 00:00:00",Conventional,1.190000000,425000.71,13448.46,348811.57,5517.50,57223.18,57223.18,0.00,0.00
Orlando,Weekly,"2017-01-08 00:00:00",Conventional,1.280000000,301768.99,118255.25,62039.01,116.51,121358.22,65681.77,55671.45,5.00
Philadelphia,Weekly,"2017-01-08 00:00:00",Conventional,1.390000000,435745.77,16209.65,298757.98,1201.07,119577.07,111625.82,7753.16,198.09
Phoenix/Tucson,Weekly,"2017-01-08 00:00:00",Conventional,0.730000000,1138871.92,515078.84,275341.74,16071.97,332379.37,140574.68,191804.69,0.00
Pittsburgh,Weekly,"2017-01-08 00:00:00",Conventional,1.020000000,152780.85,65343.94,47296.47,2616.18,37524.26,27826.18,9698.08,0.00
Plains,Weekly,"2017-01-08 00:00:00",Conventional,1.060000000,1890389.78,915300.05,479607.98,5628.26,489853.49,450604.75,32676.07,6572.67
Portland,Weekly,"2017-01-08 00:00:00",Conventional,0.850000000,877646.01,137600.57,252977.95,16698.99,470368.50,423677.63,46173.85,517.02
Raleigh/Greensboro,Weekly,"2017-01-08 00:00:00",Conventional,1.220000000,305194.22,91874.42,105089.17,10444.52,97786.11,95734.55,2051.56,0.00
Richmond/Norfolk,Weekly,"2017-01-08 00:00:00",Conventional,1.180000000,275129.35,91466.86,106264.62,3253.48,74144.39,73168.40,975.99,0.00
Roanoke,Weekly,"2017-01-08 00:00:00",Conventional,1.130000000,146072.21,44014.89,48526.46,92.52,53438.34,52587.23,842.22,8.89
Sacramento,Weekly,"2017-01-08 00:00:00",Conventional,1.150000000,506805.15,156654.26,276138.98,642.55,73369.36,66987.70,4336.66,2045.00
"San Diego",Weekly,"2017-01-08 00:00:00",Conventional,0.960000000,582835.25,146165.17,222743.67,15301.40,198625.01,161975.42,36309.59,340.00
"San Francisco",Weekly,"2017-01-08 00:00:00",Conventional,1.220000000,953770.46,196279.04,665608.45,2547.79,89335.18,80425.68,6315.06,2594.44
Seattle,Weekly,"2017-01-08 00:00:00",Conventional,0.800000000,938061.93,106390.45,348112.17,274.97,483284.34,456141.41,26533.02,609.91
"South Carolina",Weekly,"2017-01-08 00:00:00",Conventional,1.150000000,352660.20,154597.55,75966.86,3127.12,118968.67,83272.89,35695.78,0.00
"South Central",Weekly,"2017-01-08 00:00:00",Conventional,0.740000000,6347964.79,3529761.56,1305030.08,18206.06,1494967.09,1296031.40,183062.26,15873.43
Southeast,Weekly,"2017-01-08 00:00:00",Conventional,1.170000000,3512131.09,1510770.18,635042.26,5892.48,1360426.17,818150.80,540435.37,1840.00
Spokane,Weekly,"2017-01-08 00:00:00",Conventional,0.780000000,144931.30,16655.27,59371.33,68.06,68836.64,61628.87,7043.88,163.89
"St. Louis",Weekly,"2017-01-08 00:00:00",Conventional,1.110000000,152614.52,65552.60,10274.73,133.06,76654.13,58010.46,18595.06,48.61
Syracuse,Weekly,"2017-01-08 00:00:00",Conventional,1.430000000,67353.38,1221.37,41382.49,11.79,24737.73,24733.29,4.44,0.00
Tampa,Weekly,"2017-01-08 00:00:00",Conventional,1.270000000,351707.78,131948.41,75346.27,100.07,144313.03,80554.92,63758.11,0.00
West,Weekly,"2017-01-08 00:00:00",Conventional,0.860000000,7432376.14,2158521.28,1969740.61,130700.84,3173413.41,2194867.87,974954.56,3590.98
"West Tex/New Mexico",Weekly,"2017-01-08 00:00:00",Conventional,0.760000000,954821.31,486063.56,102288.73,15502.82,350966.20,151408.26,199527.38,30.56
"Total U.S.",Weekly,"2017-01-15 00:00:00",Conventional,0.980000000,38295488.31,12936858.36,12625665.39,579346.52,12153618.04,9445622.04,2638918.48,69077.52
Albany,Weekly,"2017-01-15 00:00:00",Conventional,1.550000000,88526.26,3327.65,71956.77,607.03,12634.81,12574.72,60.09,0.00
Atlanta,Weekly,"2017-01-15 00:00:00",Conventional,0.990000000,557377.82,249159.52,86964.23,169.63,221084.44,145333.47,75750.97,0.00
Baltimore/Washington,Weekly,"2017-01-15 00:00:00",Conventional,1.480000000,749510.72,76382.33,472453.49,10119.64,190555.26,188395.17,2152.31,7.78
Boise,Weekly,"2017-01-15 00:00:00",Conventional,1.000000000,94156.43,36085.47,4773.66,10056.51,43240.79,38975.02,4039.78,225.99
Boston,Weekly,"2017-01-15 00:00:00",Conventional,1.300000000,577976.65,5430.50,457448.44,8522.37,106575.34,106091.75,483.59,0.00
Buffalo/Rochester,Weekly,"2017-01-15 00:00:00",Conventional,1.290000000,168230.55,2011.96,68322.14,53.84,97842.61,96319.50,1523.11,0.00
California,Weekly,"2017-01-15 00:00:00",Conventional,0.930000000,6656554.36,2075029.62,2450277.12,95137.62,2036110.00,1910596.03,99912.91,25601.06
Charlotte,Weekly,"2017-01-15 00:00:00",Conventional,1.370000000,196897.85,39546.13,84479.17,9918.56,62953.99,52626.61,10327.38,0.00
Chicago,Weekly,"2017-01-15 00:00:00",Conventional,1.230000000,776820.81,78836.36,480071.92,142550.33,75362.20,67302.01,1595.12,6465.07
Cincinnati/Dayton,Weekly,"2017-01-15 00:00:00",Conventional,0.760000000,346523.78,2939.57,125731.86,994.43,216857.92,29095.07,187759.83,3.02
Columbus,Weekly,"2017-01-15 00:00:00",Conventional,0.970000000,200226.42,90931.56,32602.28,1593.72,75098.86,65836.14,9154.39,108.33
"Dallas/Ft. Worth",Weekly,"2017-01-15 00:00:00",Conventional,0.700000000,1389716.89,750093.63,313392.54,2775.58,323455.14,319826.47,3521.23,107.44
Denver,Weekly,"2017-01-15 00:00:00",Conventional,1.040000000,808771.72,147752.34,212522.91,18135.24,430361.23,255414.77,174946.46,0.00
Detroit,Weekly,"2017-01-15 00:00:00",Conventional,0.980000000,397115.64,124452.62,72303.07,7243.19,193116.76,181789.40,11325.64,1.72
"Grand Rapids",Weekly,"2017-01-15 00:00:00",Conventional,1.290000000,166158.43,935.22,107348.70,2863.54,55010.97,49537.11,5423.00,50.86
"Great Lakes",Weekly,"2017-01-15 00:00:00",Conventional,1.050000000,3893220.87,667328.63,1705655.80,182713.77,1337522.67,878109.85,449340.86,10071.96
Harrisburg/Scranton,Weekly,"2017-01-15 00:00:00",Conventional,1.440000000,251547.43,47536.54,126095.12,791.62,77124.15,75330.56,1793.59,0.00
Hartford/Springfield,Weekly,"2017-01-15 00:00:00",Conventional,1.430000000,284386.03,4665.17,223678.05,7893.25,48149.56,46455.74,1319.66,374.16
Houston,Weekly,"2017-01-15 00:00:00",Conventional,0.530000000,1613159.67,1134750.48,184545.50,2711.50,291152.19,242009.67,49139.19,3.33
Indianapolis,Weekly,"2017-01-15 00:00:00",Conventional,0.960000000,210793.64,15258.94,102478.51,2034.41,91021.78,45737.60,45282.71,1.47
Jacksonville,Weekly,"2017-01-15 00:00:00",Conventional,1.160000000,191122.29,80023.35,30493.69,188.02,80417.23,27774.46,52642.77,0.00
"Las Vegas",Weekly,"2017-01-15 00:00:00",Conventional,0.780000000,419687.35,118904.72,80217.63,7692.26,212872.74,59471.06,153401.68,0.00
"Los Angeles",Weekly,"2017-01-15 00:00:00",Conventional,0.760000000,3363407.98,1075572.75,703853.31,61161.98,1522819.94,1442445.76,59205.75,21168.43
Louisville,Weekly,"2017-01-15 00:00:00",Conventional,1.060000000,89361.43,2069.09,43683.90,281.29,43327.15,17644.78,25682.37,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-15 00:00:00",Conventional,1.340000000,588482.19,251140.35,125991.87,544.78,210805.19,82722.70,128082.49,0.00
Midsouth,Weekly,"2017-01-15 00:00:00",Conventional,1.230000000,3034320.24,693675.19,1293221.45,43787.10,1003636.50,876946.57,125271.44,1418.49
Nashville,Weekly,"2017-01-15 00:00:00",Conventional,0.890000000,251914.74,109163.63,20522.38,121.39,122107.34,106434.47,15372.87,300.00
"New Orleans/Mobile",Weekly,"2017-01-15 00:00:00",Conventional,1.010000000,291083.26,171326.01,35657.65,232.92,83866.68,60508.85,16912.83,6445.00
"New York",Weekly,"2017-01-15 00:00:00",Conventional,1.380000000,1384264.04,14301.61,995747.96,58355.49,315858.98,275101.56,38860.92,1896.50
Northeast,Weekly,"2017-01-15 00:00:00",Conventional,1.360000000,4250958.55,203358.77,2913734.21,96705.28,1037160.29,969744.48,64997.68,2418.13
"Northern New England",Weekly,"2017-01-15 00:00:00",Conventional,1.250000000,421262.96,13397.71,330248.49,6370.03,71246.73,71246.73,0.00,0.00
Orlando,Weekly,"2017-01-15 00:00:00",Conventional,1.270000000,356960.50,148500.59,72248.12,175.19,136036.60,69128.81,66907.79,0.00
Philadelphia,Weekly,"2017-01-15 00:00:00",Conventional,1.440000000,435740.48,16847.12,282239.77,8983.40,127670.19,118443.27,9006.12,220.80
Phoenix/Tucson,Weekly,"2017-01-15 00:00:00",Conventional,0.600000000,1470187.14,689503.99,362435.36,13938.56,404309.23,136614.13,267595.10,100.00
Pittsburgh,Weekly,"2017-01-15 00:00:00",Conventional,1.080000000,168143.15,74537.10,47948.29,3405.20,42252.56,29876.42,12376.14,0.00
Plains,Weekly,"2017-01-15 00:00:00",Conventional,1.050000000,2064194.02,925668.48,529337.88,6259.33,602928.33,545116.32,46315.29,11496.72
Portland,Weekly,"2017-01-15 00:00:00",Conventional,0.850000000,758125.51,109638.80,187142.02,17794.13,443550.56,415774.16,27321.98,454.42
Raleigh/Greensboro,Weekly,"2017-01-15 00:00:00",Conventional,1.270000000,277248.48,73384.69,111891.62,8946.58,83025.59,80590.42,2435.17,0.00
Richmond/Norfolk,Weekly,"2017-01-15 00:00:00",Conventional,1.150000000,261313.02,96322.65,89916.17,3884.99,71189.21,69981.57,1164.58,43.06
Roanoke,Weekly,"2017-01-15 00:00:00",Conventional,1.060000000,158063.43,50449.58,43695.52,94.12,63824.21,63041.06,780.93,2.22
Sacramento,Weekly,"2017-01-15 00:00:00",Conventional,1.200000000,469431.68,147645.88,275717.97,670.73,45397.10,42762.25,2404.85,230.00
"San Diego",Weekly,"2017-01-15 00:00:00",Conventional,0.870000000,580190.82,156924.39,216675.95,14469.29,192121.19,168153.59,23244.82,722.78
"San Francisco",Weekly,"2017-01-15 00:00:00",Conventional,1.230000000,848267.19,211588.95,566260.12,2752.49,67665.63,60288.11,5710.02,1667.50
Seattle,Weekly,"2017-01-15 00:00:00",Conventional,0.930000000,755537.27,88731.00,212640.40,894.17,453271.70,442607.26,10132.02,532.42
"South Carolina",Weekly,"2017-01-15 00:00:00",Conventional,1.140000000,369916.29,167680.27,86901.86,2850.92,112483.24,70024.71,42458.53,0.00
"South Central",Weekly,"2017-01-15 00:00:00",Conventional,0.680000000,7103726.14,4335593.06,1264050.32,18959.07,1485123.69,1360058.70,110035.17,15029.82
Southeast,Weekly,"2017-01-15 00:00:00",Conventional,1.170000000,3843139.76,1686737.90,724373.09,5637.40,1426391.37,784077.42,641123.95,1190.00
Spokane,Weekly,"2017-01-15 00:00:00",Conventional,0.930000000,107376.76,15011.06,31840.57,438.94,60086.19,58001.90,2063.92,20.37
"St. Louis",Weekly,"2017-01-15 00:00:00",Conventional,1.110000000,183270.40,71169.65,10367.87,63.07,101669.81,72670.03,28999.78,0.00
Syracuse,Weekly,"2017-01-15 00:00:00",Conventional,1.400000000,68598.22,1109.08,37401.39,21.00,30066.75,29465.36,601.39,0.00
Tampa,Weekly,"2017-01-15 00:00:00",Conventional,1.240000000,425887.79,176596.61,89720.14,152.26,159418.78,81860.82,77557.96,0.00
West,Weekly,"2017-01-15 00:00:00",Conventional,0.850000000,7449374.27,2349466.71,1745015.51,130146.93,3224745.12,2120972.62,1101921.17,1851.33
"West Tex/New Mexico",Weekly,"2017-01-15 00:00:00",Conventional,0.730000000,1068598.28,565135.47,98377.69,17186.36,387898.76,153857.94,234040.82,0.00
"Total U.S.",Weekly,"2017-01-22 00:00:00",Conventional,0.940000000,42140393.39,14254150.46,14212881.66,908616.41,12764744.86,9462853.82,3231019.56,70871.48
Albany,Weekly,"2017-01-22 00:00:00",Conventional,1.590000000,128679.24,4119.94,111173.08,2191.71,11194.51,11060.19,125.50,8.82
Atlanta,Weekly,"2017-01-22 00:00:00",Conventional,0.840000000,755472.09,320378.00,135920.57,179.13,298994.39,177899.15,121095.24,0.00
Baltimore/Washington,Weekly,"2017-01-22 00:00:00",Conventional,1.420000000,826941.93,81908.85,528125.52,22836.90,194070.66,187903.12,5693.97,473.57
Boise,Weekly,"2017-01-22 00:00:00",Conventional,1.010000000,88317.73,34251.49,5626.82,8313.98,40125.44,34932.06,5155.30,38.08
Boston,Weekly,"2017-01-22 00:00:00",Conventional,1.260000000,663735.14,4741.15,526892.92,11138.94,120962.13,118685.31,2276.82,0.00
Buffalo/Rochester,Weekly,"2017-01-22 00:00:00",Conventional,1.340000000,160924.52,1691.65,70336.67,56.29,88839.91,86197.69,2642.22,0.00
California,Weekly,"2017-01-22 00:00:00",Conventional,0.760000000,8153340.48,3089603.62,2659661.41,106559.24,2297516.21,2207074.93,61563.24,28878.04
Charlotte,Weekly,"2017-01-22 00:00:00",Conventional,1.180000000,247754.70,42582.24,116159.86,20382.32,68630.28,54562.88,14067.40,0.00
Chicago,Weekly,"2017-01-22 00:00:00",Conventional,1.210000000,845065.66,120093.41,497235.79,136328.96,91407.50,83227.70,1680.17,6499.63
Cincinnati/Dayton,Weekly,"2017-01-22 00:00:00",Conventional,0.690000000,380429.31,3186.11,142025.18,2545.11,232672.91,34561.66,198094.72,16.53
Columbus,Weekly,"2017-01-22 00:00:00",Conventional,0.910000000,197072.56,75919.97,47945.33,3811.68,69395.58,65666.80,3727.37,1.41
"Dallas/Ft. Worth",Weekly,"2017-01-22 00:00:00",Conventional,0.700000000,1382964.89,850531.30,222669.42,4457.46,305306.71,302263.34,2962.34,81.03
Denver,Weekly,"2017-01-22 00:00:00",Conventional,1.030000000,906838.40,149313.21,268029.66,13355.19,476140.34,326361.97,149643.69,134.68
Detroit,Weekly,"2017-01-22 00:00:00",Conventional,0.840000000,616589.93,129912.94,202323.91,25797.70,258555.38,254296.51,3810.70,448.17
"Grand Rapids",Weekly,"2017-01-22 00:00:00",Conventional,0.920000000,322366.88,1152.99,227003.50,12962.62,81247.77,72435.68,6021.30,2790.79
"Great Lakes",Weekly,"2017-01-22 00:00:00",Conventional,0.950000000,4696372.14,680490.86,2241043.46,234650.47,1540187.35,1068557.00,455206.07,16424.28
Harrisburg/Scranton,Weekly,"2017-01-22 00:00:00",Conventional,1.400000000,266851.77,49774.50,135845.63,3688.76,77542.88,74174.07,3242.21,126.60
Hartford/Springfield,Weekly,"2017-01-22 00:00:00",Conventional,1.470000000,332672.05,4349.36,247185.31,13325.62,67811.76,65059.13,1897.89,854.74
Houston,Weekly,"2017-01-22 00:00:00",Conventional,0.680000000,1119168.10,798585.87,170357.81,4719.74,145504.68,79246.83,66254.52,3.33
Indianapolis,Weekly,"2017-01-22 00:00:00",Conventional,0.930000000,204570.78,13553.31,92880.57,3909.40,94227.50,47552.12,46669.52,5.86
Jacksonville,Weekly,"2017-01-22 00:00:00",Conventional,0.910000000,246514.81,75808.70,50763.51,376.72,119565.88,28445.81,91120.07,0.00
"Las Vegas",Weekly,"2017-01-22 00:00:00",Conventional,0.790000000,382850.78,133276.27,64435.68,6954.72,178184.11,44375.39,133739.28,69.44
"Los Angeles",Weekly,"2017-01-22 00:00:00",Conventional,0.620000000,4215552.57,1715034.11,663032.28,61799.24,1775686.94,1710186.48,39625.95,25874.51
Louisville,Weekly,"2017-01-22 00:00:00",Conventional,0.940000000,127597.75,2407.87,66870.27,714.26,57605.35,18678.36,38926.99,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-01-22 00:00:00",Conventional,1.050000000,793514.22,308899.67,230819.58,377.73,253417.24,71856.16,181454.14,106.94
Midsouth,Weekly,"2017-01-22 00:00:00",Conventional,1.170000000,3394184.15,737948.84,1519035.24,94412.42,1042787.65,859648.57,181562.03,1577.05
Nashville,Weekly,"2017-01-22 00:00:00",Conventional,0.870000000,251189.52,112820.57,30481.58,81.46,107805.91,82914.32,24413.26,478.33
"New Orleans/Mobile",Weekly,"2017-01-22 00:00:00",Conventional,1.060000000,267331.27,138670.15,34757.27,273.00,93630.85,56028.66,29497.19,8105.00
"New York",Weekly,"2017-01-22 00:00:00",Conventional,1.480000000,1721917.04,15652.26,1169600.51,206537.54,330126.73,288384.55,36337.65,5404.53
Northeast,Weekly,"2017-01-22 00:00:00",Conventional,1.390000000,5007356.22,206778.67,3425747.61,319052.61,1055777.33,978886.09,68710.32,8180.92
"Northern New England",Weekly,"2017-01-22 00:00:00",Conventional,1.170000000,502345.31,16606.58,421568.56,9377.69,54792.48,54789.15,3.33,0.00
Orlando,Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,481274.00,167213.01,125193.82,178.80,188688.37,66571.38,121936.43,180.56
Philadelphia,Weekly,"2017-01-22 00:00:00",Conventional,1.510000000,489345.23,18201.14,287008.11,58242.14,125893.84,114958.90,9387.36,1547.58
Phoenix/Tucson,Weekly,"2017-01-22 00:00:00",Conventional,0.540000000,1601222.68,909748.65,296612.15,15561.81,379300.07,98982.80,280317.27,0.00
Pittsburgh,Weekly,"2017-01-22 00:00:00",Conventional,1.040000000,159303.60,68732.26,45716.42,3110.59,41744.33,30703.03,11041.30,0.00
Plains,Weekly,"2017-01-22 00:00:00",Conventional,1.090000000,1812652.88,790172.66,503597.38,5427.07,513455.77,463066.89,48648.26,1740.62
Portland,Weekly,"2017-01-22 00:00:00",Conventional,0.870000000,711564.14,107651.59,194199.57,16169.54,393543.44,331105.98,62282.17,155.29
Raleigh/Greensboro,Weekly,"2017-01-22 00:00:00",Conventional,1.140000000,326997.65,88147.39,135723.73,18581.37,84545.16,80560.91,3984.25,0.00
Richmond/Norfolk,Weekly,"2017-01-22 00:00:00",Conventional,1.130000000,286641.35,94347.19,107935.30,6890.03,77468.83,75851.48,1617.35,0.00
Roanoke,Weekly,"2017-01-22 00:00:00",Conventional,1.040000000,163498.85,48905.14,46802.42,142.99,67648.30,66764.36,883.94,0.00
Sacramento,Weekly,"2017-01-22 00:00:00",Conventional,0.980000000,532733.04,166864.88,321763.18,2248.57,41856.41,41368.62,487.79,0.00
"San Diego",Weekly,"2017-01-22 00:00:00",Conventional,0.740000000,695873.15,313593.77,174728.80,15139.20,192411.38,179361.27,13050.11,0.00
"San Francisco",Weekly,"2017-01-22 00:00:00",Conventional,0.940000000,1089513.11,297208.60,722757.78,5364.85,64181.88,59393.11,3290.16,1498.61
Seattle,Weekly,"2017-01-22 00:00:00",Conventional,0.850000000,865893.82,102662.26,256663.56,556.69,506011.31,393137.40,112547.31,326.60
"South Carolina",Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,451738.89,159931.18,121922.88,6643.91,163240.92,98463.17,64777.75,0.00
"South Central",Weekly,"2017-01-22 00:00:00",Conventional,0.740000000,6207638.50,4020198.09,957479.68,23685.51,1206275.22,1066264.87,128528.14,11482.21
Southeast,Weekly,"2017-01-22 00:00:00",Conventional,0.970000000,4992701.64,1897606.32,1188251.05,11258.47,1895585.80,834407.94,1059745.36,1432.50
Spokane,Weekly,"2017-01-22 00:00:00",Conventional,0.880000000,113430.50,19006.07,38753.45,153.69,55517.29,49749.97,5680.78,86.54
"St. Louis",Weekly,"2017-01-22 00:00:00",Conventional,1.140000000,155424.95,63018.91,8315.40,105.28,83985.36,54350.10,29635.26,0.00
Syracuse,Weekly,"2017-01-22 00:00:00",Conventional,1.520000000,79859.72,1341.00,52570.04,16.27,25932.41,24856.47,1075.94,0.00
Tampa,Weekly,"2017-01-22 00:00:00",Conventional,1.000000000,547800.42,178179.30,151852.98,116.50,217651.64,80110.89,137540.75,0.00
West,Weekly,"2017-01-22 00:00:00",Conventional,0.820000000,7876147.38,2831351.41,1718065.83,113570.61,3213159.53,1984947.54,1227056.13,1155.86
"West Tex/New Mexico",Weekly,"2017-01-22 00:00:00",Conventional,0.670000000,1100953.14,653900.04,95147.87,14466.07,337439.16,113880.30,223558.86,0.00
"Total U.S.",Weekly,"2017-01-29 00:00:00",Conventional,0.960000000,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66
Albany,Weekly,"2017-01-29 00:00:00",Conventional,1.310000000,95424.59,3844.62,78315.15,484.56,12780.26,12393.84,382.06,4.36
